Significant,-LOG(P-value),Difference,Protein IDs,Majority protein IDs,Protein names,Gene names,Potential contaminant,Mol. weight [kDa],Peptides,Valid values,Valid values 15 min,Valid values unstim,Myd88 15 min 1 neu,MyD88 15 min 2 neu,MyD88 15 min 3 neu,MyD88 15 min 4 neu,MyD88 unstim 2 neu,MyD88 unstim 3 neu,MyD88 unstim 4 neu
+,2.767546109,0.9749161402,P47753,P47753,F-actin-capping protein subunit alpha-1,Capza1,,32.939,9,12,4,4,21.16378593,20.61718559,21.02688599,21.07828522,19.84398651,20.13058662,20.01528549
+,2.643286007,1.131866455,P47754,P47754,F-actin-capping protein subunit alpha-2,Capza2,,32.967,12,12,4,4,20.73748589,20.38188553,20.91548538,21.02148628,19.56668663,19.44988632,19.88008499
,1.115550107,0.7497081757,P47757,P47757,F-actin-capping protein subunit beta,Capzb,,31.345,13,12,4,4,21.4805851,21.70398521,20.79548645,21.22938538,21.03528595,20.60148621,20.02118492
,2.118075876,-0.8190582593,P47758,P47758,Signal recognition particle receptor subunit beta,Srprb,,29.579,6,11,4,3,16.49548531,16.1585865,16.21378517,16.34358597,17.50498581,17.03398514,16.82678604
,0.1290580702,0.1469397545,P47791,P47791,"Glutathione reductase, mitochondrial",Gsr,,53.662,1,9,4,2,10.90798569,10.74868584,11.51418591,11.07178593,10.36355591,NaN,11.46388626
+,1.453956853,-1.526524703,P47811,P47811,Mitogen-activated protein kinase 14,Mapk14,,41.287,4,9,4,3,11.69278622,12.92408562,11.79538631,12.87838554,14.41068554,13.01458549,14.12228584
,1.032368231,-0.8464746475,P47856;Q9Z2Z9,P47856,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,Gfpt1,,78.538,14,11,4,3,16.30928612,16.62908554,15.33068562,15.99298573,17.42068481,16.90048599,16.41478539
,0.5851032691,-0.2425669034,P47857,P47857,"ATP-dependent 6-phosphofructokinase, muscle type",Pfkm,,85.268,9,12,4,4,15.30988598,14.99628544,14.61218548,14.77958584,15.32828617,15.11328602,15.05958557
+,2.100802216,-1.816950162,P47911,P47911,60S ribosomal protein L6,Rpl6,,33.509,15,12,4,4,24.06458664,24.65318489,23.68928528,23.24308586,26.08538628,25.93318558,25.16988564
+,2.448488856,-2.162833373,P47915,P47915,60S ribosomal protein L29,Rpl29,,17.587,3,12,4,4,21.30898666,22.46728516,21.02328491,21.61198616,23.93688583,24.0593853,23.30088615
,0.2412036499,-0.1180664698,P47941,P47941,Crk-like protein,Crkl,,33.83,1,9,3,4,12.41838551,NaN,12.8110857,13.01508617,12.83628559,12.74288559,13.01958561
+,1.437258094,-2.538466771,P47955,P47955,60S acidic ribosomal protein P1,Rplp1,,11.475,1,8,3,3,15.93528557,NaN,13.74728584,15.74168587,17.7387867,18.39448547,16.90638542
+,2.743772916,-2.259533087,P47962,P47962,60S ribosomal protein L5,Rpl5,,34.4,13,12,4,4,20.16868591,20.79938507,19.95338631,19.80208588,22.7509861,22.77528572,21.79498482
+,2.365484526,-1.767133077,P47963,P47963,60S ribosomal protein L13,Rpl13,,24.305,13,12,4,4,25.34418488,25.80158615,24.77628517,24.83868599,27.13488579,27.29028511,26.44678497
+,2.062430159,-1.963407993,P47964,P47964,60S ribosomal protein L36,Rpl36,,12.215,6,12,4,4,24.66818619,25.68408585,24.05238533,25.03938675,27.15708542,27.06148529,26.25468636
,0.9393157453,-0.8746002515,P48678;P21619,P48678,Prelamin-A/C;Lamin-A/C,Lmna,,74.237,33,12,4,4,17.91918564,18.81068611,17.59838486,18.10328674,19.52798653,19.24338531,18.17608643
+,1.297464917,1.165794849,P48722,P48722,Heat shock 70 kDa protein 4L,Hspa4l,,94.381,4,6,4,2,11.72988605,10.91138554,10.63978577,11.67428589,NaN,9.916646004,10.22943592
,0.1812114413,0.1916168531,P48725,P48725,Pericentrin,Pcnt,,329.46,10,11,4,4,11.85428619,12.89788628,12.0410862,12.75608635,12.61908627,12.40928555,11.55878639
,0.4033317572,-0.460100015,P48760,P48760,"Folylpolyglutamate synthase, mitochondrial",Fpgs,,64.955,1,6,3,2,12.62898636,NaN,11.39878559,11.86568546,12.37038612,12.47878551,NaN
+,2.052719547,-0.9718244871,P48962;Q3V132,P48962,ADP/ATP translocase 1,Slc25a4,,32.904,16,12,4,4,19.73608589,20.21458626,19.60878563,19.69518661,21.08058548,20.877985,20.39788628
,0.6740713324,-0.5538167953,P49025,P49025,Citron Rho-interacting kinase,Cit,,235.39,5,12,4,4,11.07288551,11.72878551,12.65048599,11.91158581,12.51088619,12.35248566,12.32088566
+,2.669436379,-1.330925147,P49135,P49135,TFIIH basal transcription factor complex helicase XPB subunit,Ercc3,,89.125,15,11,4,3,16.23008537,16.4547863,15.95828533,15.78748608,17.69248581,17.52808571,17.09518623
+,2.348866283,-1.500874837,P49312,P49312,"Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed",Hnrnpa1,,34.196,17,12,4,4,20.1429863,20.55088615,20.23898506,20.01518631,22.3249855,21.70018578,21.1884861
+,1.112564638,-1.690853119,P49452,P49452,Centromere protein C,Cenpc,,102.15,3,11,4,3,10.76128578,9.832185745,10.18648624,10.81638622,10.42284584,12.66518593,13.18178558
,0.01349061506,0.01580007871,P49615,P49615,Cyclin-dependent-like kinase 5,Cdk5,,33.288,3,11,4,3,13.94118595,14.58738613,13.31898594,14.48918533,13.98038578,14.48838615,13.73638535
+,2.241842702,-0.9584666888,P49717,P49717,DNA replication licensing factor MCM4,Mcm4,,96.735,20,12,4,4,17.37738609,18.03858566,17.40198517,17.47598648,18.51268578,18.73458672,18.34858513
+,2.243679996,-0.9298335711,P49718,P49718,DNA replication licensing factor MCM5,Mcm5,,82.406,33,12,4,4,19.57718658,20.06568527,19.39818573,19.52528572,20.81528664,20.43608665,20.4628849
,0,-1.271732966,P49722,P49722,Proteasome subunit alpha type-2,Psma2,,25.926,5,7,1,4,NaN,NaN,NaN,13.08228588,15.35378551,13.72878551,13.97948551
+,3.438761139,1.666434447,P49813;Q9JLH8,P49813,Tropomodulin-1,Tmod1,,40.466,14,12,4,4,20.16278648,20.24788666,19.68258667,19.96388626,18.63988495,18.27218628,18.13148499
,0.2358611394,-0.2678830624,P50247,P50247,Adenosylhomocysteinase,Ahcy,,47.688,5,12,4,4,13.02128601,14.52608585,13.09668636,13.72568607,14.30608559,13.57208633,13.70278549
,0.9781222498,-0.6581413746,P50580,P50580,Proliferation-associated protein 2G4,Pa2g4,,43.698,7,12,4,4,16.10868645,16.66358566,15.8409853,16.06558609,17.31358528,16.92468643,16.24528503
,0.05256330047,0.04048299789,P51150,P51150,Ras-related protein Rab-7a,Rab7a,,23.489,7,12,4,4,16.37238503,16.14308548,15.78068542,16.62078476,16.48188591,16.27258492,15.8117857
+,1.708520484,-1.989975293,P51410,P51410,60S ribosomal protein L9,Rpl9,,21.881,8,12,4,4,24.20928574,24.33878517,22.26468658,23.7916851,25.42918587,26.03718567,25.45688629
+,0.6472250327,-1.498249769,P51660,P51660,Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2,Hsd17b4,,79.481,4,9,4,2,9.505785942,12.272686,11.91898632,9.918086052,NaN,12.35428619,12.4499855
,0.3073505579,-0.6581749916,P51807,P51807,Dynein light chain Tctex-type 1,Dynlt1,,12.483,1,10,4,2,11.54248619,12.80558586,11.00798607,12.87578583,NaN,13.5726862,11.85958576
+,0.5723724144,-1.759152969,P51829;P84309,P51829,Adenylate cyclase type 7,Adcy7,,122.71,3,8,4,3,10.26918602,10.37948608,9.830085754,10.18418598,11.06744576,9.543735504,15.16348553
+,1.422684508,-1.058833122,P51881,P51881,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",Slc25a5,,32.931,17,12,4,4,22.80988503,23.12708664,21.8691864,22.34098625,23.94698524,23.67428589,23.16558647
,0.4469610652,-0.8537247181,P51949,P51949,CDK-activating kinase assembly factor MAT1,Mnat1,,35.848,1,7,4,2,12.82938576,14.01298523,11.35278606,12.58748627,13.67108536,NaN,13.42768574
+,1.138929394,-1.03374958,P52293,P52293,Importin subunit alpha-1,Kpna2,,57.927,9,12,4,4,17.20538521,17.73768616,16.01078606,16.75308609,18.19748497,18.05658531,17.62738609
,0.6854057892,-0.536816597,P52332,P52332,Tyrosine-protein kinase JAK1,Jak1,,133.37,16,11,4,3,15.72558594,16.03178596,14.89328575,15.75588608,16.60718536,16.14578629,15.66238594
,0.2691936614,-0.345233202,P52431,P52431,DNA polymerase delta catalytic subunit,Pold1,,123.79,15,12,4,4,16.00518608,15.91158581,14.25038528,14.92918587,15.49918556,16.00408554,15.35468578
+,2.595762383,-1.43034935,P52432,P52432,DNA-directed RNA polymerases I and III subunit RPAC1,Polr1c,,39.106,9,12,4,4,17.59168625,17.96488571,17.0994854,17.17448616,19.08528519,18.88918495,18.68948555
+,4.115482643,-1.436332862,P52479,P52479,Ubiquitin carboxyl-terminal hydrolase 10,Usp10,,87.021,24,12,4,4,19.29338646,19.33738518,19.10618591,19.10778618,20.86358643,20.61818504,20.46078491
,0.1645345511,-0.1098583539,P52480;P53657,P52480,Pyruvate kinase PKM,Pkm,,57.844,25,12,4,4,18.70938492,19.16378593,18.72118568,19.15628624,19.43248558,19.11728668,18.59278488
,0.199114063,-0.2443853219,P52633,P52633,Signal transducer and transcription activator 6,Stat6,,93.496,2,9,4,4,10.27798557,10.64588547,9.037985802,10.58698559,10.36278629,10.76799583,10.01400566
,0.4296843041,-0.4600583712,P52734,P52734,"FYVE, RhoGEF and PH domain-containing protein 1",Fgd1,,106.36,6,11,4,3,14.52048588,14.17618561,12.94508553,13.28008556,14.53448582,14.20098591,13.83608532
,0.04836837229,0.07714962959,P52875,P52875,Transmembrane protein 165,Tmem165,,34.79,1,7,4,2,12.53358555,14.03198528,13.01858616,12.5641861,12.70798588,13.21188641,NaN
,0.09148340406,-0.43836689,P52912,P52912,Nucleolysin TIA-1,Tia1,,42.799,4,9,3,3,NaN,10.41028595,14.58628559,14.52648544,11.89898586,13.56748581,15.37168598
+,2.510117539,-1.485925357,P53026,P53026,60S ribosomal protein L10a,Rpl10a,,24.916,10,12,4,4,24.38118553,24.54558563,24.18548584,23.92678642,26.26218605,25.32818604,25.64668655
+,1.473267373,1.042600155,P53349,P53349,Mitogen-activated protein kinase kinase kinase 1,Map3k1,,161.29,6,8,4,3,13.15228558,12.66628551,12.58688641,13.66128635,12.18758583,12.25138569,11.4832859
+,2.962378714,-1.571916898,P53569,P53569,CCAAT/enhancer-binding protein zeta,Cebpz,,120.26,24,12,4,4,16.86248589,17.29688644,16.62508583,16.98688507,18.63348579,18.77968597,18.13108635
,0.6807986965,-0.6257333755,P53986,P53986,Monocarboxylate transporter 1,Slc16a1,,53.267,3,12,4,4,17.43068504,18.01348495,16.89208603,16.80368614,18.21318626,18.27718544,17.24178505
+,1.593616758,1.671299934,P53994;P59279,P53994;P59279,Ras-related protein Rab-2A;Ras-related protein Rab-2B,Rab2a;Rab2b,,23.547,4,8,4,3,13.46948624,14.00158596,13.98888588,13.76698589,12.85928631,11.41158581,NaN
+,1.747684093,-1.576400042,P53995,P53995,Anaphase-promoting complex subunit 1,Anapc1,,215.99,7,11,4,3,11.77968597,12.41028595,11.28508568,12.29848576,14.05778599,13.76658535,12.73498631
+,2.495110432,-2.427675088,P53996,P53996,Cellular nucleic acid-binding protein,Cnbp,,19.592,4,11,4,3,16.2563858,16.63328552,16.10498619,15.23218536,18.63978577,19.00218582,17.81118584
,0.8019896447,-0.8541248639,P54071,P54071,"Isocitrate dehydrogenase [NADP], mitochondrial",Idh2,,50.906,4,11,4,3,13.49998569,14.89688587,12.96708584,13.4598856,14.82308578,14.20758533,14.64958572
+,1.136559356,-1.17873319,P54103,P54103,"DnaJ homolog subfamily C member 2;DnaJ homolog subfamily C member 2, N-terminally processed",Dnajc2,,71.721,20,12,4,4,18.88858604,19.3297863,17.80998611,18.23958588,20.17818642,20.11178589,18.94718552
,1.133733683,-0.8581915696,P54276,P54276,DNA mismatch repair protein Msh6,Msh6,,151.08,11,11,4,3,14.5440855,14.90838528,13.51058578,14.1867857,15.25498581,15.36908531,14.81288528
,0.5577518204,-0.5291502476,P54729,P54729,NEDD8 ultimate buster 1,Nub1,,70.306,4,10,4,3,13.20668602,14.0997858,13.79748535,13.50218582,14.97428608,14.11948586,13.44828606
,1.160856064,-0.8106079102,P54731,P54731,FAS-associated factor 1,Faf1,,73.862,3,11,4,3,14.17538548,13.52748585,13.43568611,13.03388596,14.16968536,14.85518551,14.0362854
,0.7164560149,-0.9122163455,P54775,P54775,26S protease regulatory subunit 6B,Psmc4,,47.408,5,12,4,4,15.9367857,16.3766861,14.14528561,15.31978607,16.09688568,16.82108498,16.15258598
,0.4417210122,0.3056501547,P54822,P54822,Adenylosuccinate lyase,Adsl,,54.866,5,12,4,4,15.77038574,16.26428604,15.4846859,15.7247858,15.83228588,15.73798561,14.94588566
+,2.192540435,-1.410341422,P54823,P54823,Probable ATP-dependent RNA helicase DDX6,Ddx6,,54.191,20,12,4,4,19.74808502,20.12948608,19.3725853,19.32788658,21.42108536,21.2047863,20.53868484
+,2.346390661,-1.498050133,P55200,P55200,Histone-lysine N-methyltransferase 2A;MLL cleavage product N320;MLL cleavage product C180,Kmt2a,,429.64,10,11,4,3,11.78438568,11.57308578,11.71678638,11.2278862,13.44948578,13.33688641,12.43438625
+,2.515994137,0.9675337474,P55258;Q9DD03;P61028;Q8K386,P55258,Ras-related protein Rab-8A,Rab8a,,23.668,4,12,4,4,16.78658485,16.69638634,16.60238647,17.05298615,16.07318497,15.50428581,15.87368584
,0.1742428774,-0.1065260569,P56135,P56135,"ATP synthase subunit f, mitochondrial",Atp5j2,,10.344,2,11,4,3,18.89898491,18.58038521,18.70448494,18.90918541,18.77778625,18.49368668,19.36788559
+,1.882252404,-1.921075106,P56183,P56183,Ribosomal RNA processing protein 1 homolog A,Rrp1,,54.776,8,12,4,4,16.68998528,17.48898506,15.55918598,16.29348564,18.46468544,18.79198647,18.03028488
,0.3645009971,0.2467250824,P56399,P56399,Ubiquitin carboxyl-terminal hydrolase 5,Usp5,,95.832,4,10,4,3,12.69598579,12.73738575,12.56708622,13.44478607,12.70518589,12.2278862,12.91068554
,0.1642475449,0.1008499463,P56480,P56480,"ATP synthase subunit beta, mitochondrial",Atp5b,,56.3,19,12,4,4,17.54978561,17.96478653,17.16278648,17.58278656,17.77498627,17.35588646,17.26168633
+,1.667803293,-1.867716471,P56671,P56671,Myc-associated zinc finger protein,Maz,,48.769,3,10,4,3,13.33218575,14.0002861,12.37108612,12.17778587,15.19798565,15.09008598,14.22608566
+,2.298022187,-1.697125435,P56959,P56959,RNA-binding protein FUS,Fus,,52.673,11,12,4,4,21.00938606,21.73458481,20.46868515,20.80878639,22.83888626,22.95108604,22.31748581
+,3.88527606,-1.338267167,P56960,P56960,Exosome component 10,Exosc10,,100.94,32,12,4,4,18.29188538,18.56048584,18.43738556,18.30978584,19.96128654,19.71438599,19.53878593
,0.677976758,-0.4139087995,P57776,P57776,Elongation factor 1-delta,Eef1d,,31.293,7,12,4,4,16.99248505,17.71078491,16.89898491,17.08618546,17.70088577,17.90658569,17.15058517
+,2.923951332,0.9235251745,P57780,P57780,Alpha-actinin-4,Actn4,,104.98,47,12,4,4,20.89368629,20.75808525,20.54788589,20.81878662,20.08348656,19.75738525,19.65238571
+,1.785450729,-1.383708477,P57784,P57784,U2 small nuclear ribonucleoprotein A,Snrpa1,,28.357,10,12,4,4,21.71098518,22.37958527,20.94228554,21.33358574,23.07218552,23.21398544,22.63978577
,0.1508929142,0.1972742081,P58059,P58059,"28S ribosomal protein S21, mitochondrial",Mrps21,,10.561,2,11,4,3,16.53098488,16.88498497,17.90568542,16.73538589,16.90378571,16.07958603,17.46758652
+,1.303406752,-1.591858149,P58069,P58069,Ras GTPase-activating protein 2,Rasa2,,96.4,3,11,4,3,10.04208565,12.07388592,10.35228634,11.7091856,12.79268551,12.91388607,12.20208549
,0.6885541433,-0.5212327639,P58252,P58252,Elongation factor 2,Eef2,,95.313,39,12,4,4,20.03898621,20.60148621,19.31168556,19.87298584,20.65278625,20.71008492,20.06968498
,0.8597405447,0.7848583062,P58281,P58281,"Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1",Opa1,,111.34,3,11,4,3,15.48678589,15.1999855,14.48188591,15.23018551,15.03058529,14.38768578,13.52628613
+,2.261524879,-1.599682808,P58334,P58334,Krueppel-like factor 16,Klf16,,25.652,1,11,4,3,17.08608627,17.40638542,16.11468506,16.88338661,18.31638527,18.72868538,18.3718853
+,4.103781805,-2.335899194,P58468,P58468,Protein FAM207A,Fam207a,,24.814,6,11,4,3,18.05228615,18.460886,17.9153862,18.10778618,20.61188507,20.67008591,20.127985
+,2.652992453,-1.51348273,P58501,P58501,PAX3- and PAX7-binding protein 1,Paxbp1,,104.83,12,12,4,4,13.95518589,15.02388573,14.63978577,14.45568562,16.04698563,16.0484848,16.00088501
+,2.615089017,1.120625178,P58742,P58742,Aladin,Aaas,,59.43,3,11,4,3,17.14818573,16.8141861,16.93528557,17.45758629,16.11768532,15.71168613,16.07518578
+,2.780357592,1.457732995,P58771,P58771,Tropomyosin alpha-1 chain,Tpm1,,32.68,8,11,4,3,19.55708504,19.76528549,19.35318565,19.64038658,18.59058571,18.06258583,17.71058655
,0,NaN,P58802,P58802,TBC1 domain family member 10A,Tbc1d10a,,56.202,1,5,4,0,11.76928616,12.72368622,9.920585632,12.19078636,NaN,NaN,NaN
+,2.868102295,-1.487141609,P58854,P58854,Gamma-tubulin complex component 3,Tubgcp3,,103.47,3,10,4,3,11.22568607,11.2624855,10.73908615,11.29678631,12.96528625,12.63288593,12.25628567
,0.5223257596,0.4870801767,P58871,P58871,182 kDa tankyrase-1-binding protein,Tnks1bp1,,181.82,5,11,4,3,11.13858604,11.22508621,12.59448624,11.43438625,11.26059628,11.28288555,10.7896862
,0.8602441671,-0.391250054,P59240,P59240,Nephrocystin-4,Nphp4,,157.27,2,9,4,3,11.31868553,11.87628555,12.07178593,11.45858574,12.25348568,11.96148586,12.00278568
,0.07047309431,-0.05770015717,P59242,P59242,Cingulin,Cgn,,136.45,2,7,4,3,11.5848856,12.29088593,11.61378574,11.56858635,12.00568581,11.63878632,NaN
+,2.76533946,-1.803491275,P59326,P59326,YTH domain-containing family protein 1,Ythdf1,,60.878,8,11,4,3,15.95328617,16.42058563,15.89918613,15.9207859,18.2373867,18.07198524,17.24648476
+,1.573897948,-1.695833047,P59470,P59470,DNA-directed RNA polymerase III subunit RPC2,Polr3b,,127.71,6,11,4,3,11.64948559,13.48868561,12.43648624,12.32888603,14.04128551,14.86858559,13.60528564
+,2.903500218,-3.974291325,P59481,P59481,VIP36-like protein,Lman2l,,39.881,2,11,4,3,16.00668526,16.38298607,15.29358578,14.76098537,19.13168526,19.01278496,20.61158562
,0.7173341779,-0.7366585732,P59708,P59708,Splicing factor 3B subunit 6,Sf3b6,,14.585,2,11,4,3,17.39548492,18.14358521,17.14418602,17.34218597,18.33688545,19.04858589,17.34358597
+,3.863337422,1.345058441,P59999,P59999,Actin-related protein 2/3 complex subunit 4,Arpc4,,19.667,7,12,4,4,20.16548538,19.92768669,20.1198864,20.33938599,18.66398621,18.7339859,18.98118591
,0.2394578632,0.2149496078,P60003,P60003,Transcription elongation factor 1 homolog,Elof1,,9.4618,1,10,4,2,17.69008636,18.33408546,17.43118477,18.35438538,17.63908577,17.835886,NaN
+,3.662419713,-1.030883312,P60122,P60122,RuvB-like 1,Ruvbl1,,50.213,13,12,4,4,18.41028595,18.43248558,18.62268639,18.462286,19.45528603,19.72598648,19.35718536
+,1.961385808,-1.379358292,P60229,P60229,Eukaryotic translation initiation factor 3 subunit E,Eif3e,,52.22,15,12,4,4,17.92398643,18.28708649,17.21608543,17.52188492,19.35718536,19.3881855,18.60448647
,1.474286845,-0.6268496513,P60330,P60330,Separin,Espl1,,233.03,13,11,4,3,13.86618614,14.05288601,13.57308578,13.88758564,14.76518536,14.59918594,14.05098534
,1.519612715,-0.320716699,P60335,P60335,Poly(rC)-binding protein 1,Pcbp1,,37.497,12,12,4,4,19.25358582,19.43578529,19.14608574,19.37268639,19.76868629,19.64118576,19.45838547
,0.1258330779,0.2855580648,P60670,P60670,Nuclear protein localization protein 4 homolog,Nploc4,,68.016,3,12,4,4,13.1568861,13.90668583,11.0080862,13.14318562,11.60228634,13.24688625,12.70528603
+,2.396519446,1.685075204,P60710,P60710,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed",Actb,,41.736,32,11,4,3,16.50538635,15.79598522,16.54318619,16.77648544,14.23208523,14.77998543,15.14848614
+,0.8962376629,-1.424132665,P60766,P60766,Cell division control protein 42 homolog,Cdc42,,21.258,2,9,3,3,13.10648632,12.74738598,NaN,13.54118633,15.94778538,14.04958534,13.67008591
,0.8686142336,-1.035683632,P60824,P60824,Cold-inducible RNA-binding protein,Cirbp,,18.607,3,11,4,3,15.85208607,16.86658478,15.44108582,14.76838589,17.06398582,17.09798622,16.14118576
,1.106034106,-0.5237995783,P60843,P60843,Eukaryotic initiation factor 4A-I,Eif4a1,,46.153,19,12,4,4,20.68358612,21.07868576,20.35498619,20.79948616,21.51958656,21.35068512,20.88868523
+,1.654994166,-2.689132531,P60867,P60867,40S ribosomal protein S20,Rps20,,13.373,4,12,4,4,23.90158653,24.78888512,23.59288597,21.75218582,26.54708481,26.62288475,25.42408562
,0.1334308753,-0.3151496251,P61027,P61027,Ras-related protein Rab-10,Rab10,,22.541,2,10,4,3,13.93398571,12.39578629,11.93988609,15.15128613,13.58508587,13.41788578,14.00818539
+,1.942481554,1.231633186,P61161,P61161,Actin-related protein 2,Actr2,,44.76,8,12,4,4,20.28978539,20.69758606,19.75878525,20.45618629,19.46128654,19.14548492,18.60008621
,0.2450267641,0.2065176169,P61164,P61164,Alpha-centractin,Actr1a,,42.613,4,12,4,4,16.27438545,16.26328659,16.70568657,15.743186,16.54498482,15.52648544,16.04888535
,0.517367546,-0.4399914742,P84078;P61205,P84078;P61205,ADP-ribosylation factor 1;ADP-ribosylation factor 3,Arf1;Arf3,,20.697,6,12,4,4,17.86448669,18.34068489,17.01538658,18.35128593,18.52458572,18.11898613,18.35528564
,0.1081701736,0.1405247053,P61211,P61211,ADP-ribosylation factor-like protein 1,Arl1,,20.411,3,11,4,3,16.03978539,15.087286,15.90488529,15.5060854,14.69178581,15.43658543,16.3535862
,1.026234135,-0.7816925049,P61222,P61222,ATP-binding cassette sub-family E member 1,Abce1,,67.314,15,12,4,4,17.57248497,18.01408577,16.89658546,17.55468559,18.81018639,18.34058571,17.72268677
+,2.076749447,-1.775640806,P61255,P61255,60S ribosomal protein L26,Rpl26,,17.258,8,12,4,4,24.79008675,25.14538574,24.09008598,24.07208633,26.64758492,26.62208557,25.63048553
,1.987574489,-0.8178084691,P61327;Q9CQL1,P61327;Q9CQL1,Protein mago nashi homolog;Protein mago nashi homolog 2,Magoh;Magohb,,17.163,5,12,4,4,17.60938644,17.88628578,17.27348518,17.11608505,18.3093853,18.29488564,18.26308632
+,2.742668001,-1.952166557,P61358,P61358,60S ribosomal protein L27,Rpl27,,15.798,8,12,4,4,25.76198578,26.30388641,25.31238556,25.54968643,27.97768593,27.87838554,27.19638634
+,1.61419648,-1.256741603,P61406,P61406,Telomerase-binding protein EST1A,Smg6,,160.49,18,12,4,4,14.5943861,15.67488575,14.88618565,14.38978577,16.4282856,16.3582859,15.64258575
+,2.307068661,-2.079508464,P61514,P61514,60S ribosomal protein L37a,Rpl37a,,10.275,6,12,4,4,22.86138535,23.51758575,22.4438858,21.94238663,25.13128662,24.79968643,24.38148499
,1.156821108,-0.8026167552,P61620,P61620,Protein transport protein Sec61 subunit alpha isoform 1,Sec61a1,,52.264,3,12,4,4,16.28448486,16.86818504,15.69308567,15.98878574,17.10328484,17.33628654,16.59418488
,0.1780346669,-0.3016080856,P61750,P61750,ADP-ribosylation factor 4,Arf4,,20.396,5,12,4,4,16.67978477,17.68338585,16.41048622,16.67958641,17.70908546,17.95788574,15.82778549
+,1.093471986,-1.047249476,P61961,P61961,Ubiquitin-fold modifier 1,Ufm1,,9.1175,2,11,4,3,18.04898643,16.78068542,16.36838531,16.90488625,17.62518501,18.53668594,18.05708504
,0.9703942595,-0.4579758644,P61963,P61963,DDB1- and CUL4-associated factor 7,Dcaf7,,38.926,5,11,4,3,17.05358505,17.19538498,17.56628609,16.86518478,17.36088562,17.98068619,17.54268646
+,2.975441102,-1.246558189,P61965,P61965,WD repeat-containing protein 5,Wdr5,,36.588,10,12,4,4,18.28658676,18.690485,18.11018562,18.15138626,19.7359848,19.58978653,19.34288597
+,1.804256436,-1.423858484,P61979,P61979,Heterogeneous nuclear ribonucleoprotein K,Hnrnpk,,50.976,31,12,4,4,22.3256855,22.6762867,21.51338577,21.7244854,23.73248672,23.80288506,22.9160862
,0.1293909094,-0.2626914978,P61982,P61982,"14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed",Ywhag,,28.302,6,12,4,4,12.35158634,14.91848564,12.23098564,12.56918621,13.37548637,13.29268551,13.17258549
+,2.255628778,1.269874811,P62046,P62046,Leucine-rich repeat and calponin homology domain-containing protein 1,Lrch1,,79.075,6,11,4,4,15.09418583,14.20638561,14.34458542,14.16468525,13.23258591,12.97458553,13.34058571
+,2.282738174,-2.158775012,P62082,P62082,40S ribosomal protein S7,Rps7,,22.127,10,12,4,4,24.10188675,25.01918602,23.22668648,23.9914856,26.37718582,26.44448662,25.90908623
,0.6531052054,0.3596247037,P62137,P62137,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,Ppp1ca,,37.54,19,12,4,4,22.27468491,22.59238625,21.79958534,22.5009861,22.11058617,22.11388588,21.57238579
,1.384432213,0.6901747386,P62141,P62141,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,Ppp1cb,,37.186,18,12,4,4,21.34858513,21.52848625,21.02848625,21.17028618,20.87878609,20.7971859,20.06038666
,1.185855219,-0.485683918,P62192,P62192,26S protease regulatory subunit 4,Psmc1,,49.184,13,12,4,4,17.46778488,17.66858673,17.05338478,17.69958496,18.212286,17.86258507,17.79918671
,0.02903678949,0.01770718892,P62196,P62196,26S protease regulatory subunit 8,Psmc5,,45.626,9,11,4,3,16.689785,16.71988487,16.14058495,16.20798492,16.47888565,16.19308662,16.59358597
+,3.198984552,-1.747816404,P62242,P62242,40S ribosomal protein S8,Rps8,,24.205,18,12,4,4,25.93248558,26.13028526,25.56238556,25.53058624,27.73358536,27.70468521,27.17198563
+,2.396380077,-1.75365003,P62245,P62245,40S ribosomal protein S15a,Rps15a,,14.839,7,12,4,4,23.70578575,24.52388573,23.60038567,23.71048546,26.1164856,25.67328644,25.12658501
,0.2151985773,0.2722005844,P62259,P62259,14-3-3 protein epsilon,Ywhae,,29.174,9,12,4,4,17.01278496,18.47808647,16.80438614,16.89388657,17.43998528,16.81128502,16.82398605
+,2.974897651,-1.95866696,P62264,P62264,40S ribosomal protein S14,Rps14,,16.273,10,12,4,4,26.53858566,26.91508484,26.2393856,26.0600853,28.70938492,28.51308632,27.9683857
+,1.568140842,-2.32006677,P62267,P62267,40S ribosomal protein S23,Rps23,,15.807,7,12,4,4,24.27968597,25.56798553,22.61378479,24.66728592,26.33938599,26.98888588,26.47848511
+,2.627689132,-1.520699501,P62270,P62270,40S ribosomal protein S18,Rps18,,17.718,15,12,4,4,24.70638657,24.80248642,24.28988647,24.0423851,26.11718559,26.2332859,25.59248543
