Significant,-LOG(P-value),Difference,Protein IDs,Majority protein IDs,Protein names,Gene names,Potential contaminant,Peptides,Mol. weight [kDa],Valid values,Valid values 30 min,Valid values unstim,30 min_1 neu,30 min_2 neu,30 min_3 neu,30 min_4 neu,unstim_1 neu,unstim_2 neu,unstim_3 neu,unstim_4 neu
,2.081749124,0.9338493347,P62843,P62843,40S ribosomal protein S15,Rps15,,8,17.04,8,4,4,22.30120087,22.55629921,23.09339905,22.79809952,21.77370071,21.94930077,21.26199913,22.02860069
,1.984323118,0.6794743538,P62849,P62849,40S ribosomal protein S24,Rps24,,6,15.423,8,4,4,23.62389946,23.90299988,23.9552002,23.2845993,22.89590073,23.18790054,22.78350067,23.18149948
,1.743604148,0.8442249298,P62852,P62852,40S ribosomal protein S25,Rps25,,7,13.742,8,4,4,26.10619926,26.59860039,26.67070007,25.80179977,25.19919968,25.68050003,25.14859962,25.77210045
,1.479260003,1.247175217,P62855,P62855,40S ribosomal protein S26,Rps26,,4,13.015,8,4,4,25.13509941,25.4090004,25.59550095,25.05520058,24.33790016,22.84589958,24.11190033,24.91040039
+,3.373335488,1.736325264,P62858,P62858,40S ribosomal protein S28,Rps28,,5,7.8409,8,4,4,23.20140076,23.11630058,23.64480019,22.49889946,21.60829926,21.29240036,21.29680061,21.3185997
,0.3347058198,0.2467250824,P62862,P62862,40S ribosomal protein S30,Fau,,1,6.6478,8,4,4,25.07869911,25.1243,25.16710091,24.50349998,24.83309937,24.78689957,23.97640038,25.29030037
+,3.280814139,2.66593345,P62874,P62874,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,Gnb1,,11,37.377,5,3,2,16.30890083,16.20569992,16.41040039,NaN,NaN,NaN,13.44480038,13.84000015
+,2.275748943,1.609974384,P62878,P62878,"E3 ubiquitin-protein ligase RBX1;E3 ubiquitin-protein ligase RBX1, N-terminally processed",Rbx1,,1,12.274,8,4,4,17.32089996,17.99699974,18.07679939,17.65979958,15.58520031,16.96619987,15.62020016,16.44300079
+,1.87335507,1.77589941,P62880;P29387,P62880,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,Gnb2,,13,37.331,8,4,4,20.17000008,19.97859955,21.11079979,18.667099,18.32189941,18.37350082,17.93770027,18.18980026
,0.3731285085,0.3292255402,P62889,P62889,60S ribosomal protein L30,Rpl30,,6,12.784,8,4,4,22.89139938,22.65460014,22.88940048,21.42760086,22.55949974,22.05900002,21.81279945,22.1147995
,0.1778821963,0.2078008652,P62892,P62892,60S ribosomal protein L39,Rpl39,,1,6.4066,8,4,4,24.97680092,24.97800064,25.53170013,23.57019997,24.77149963,24.62899971,24.03479958,24.79019928
,0.06023721008,-0.08039951324,P62900,P62900,60S ribosomal protein L31,Rpl31,,6,14.463,8,4,4,25.2730999,23.84790039,23.48730087,24.99220085,24.12599945,24.49850082,24.29809952,24.99950027
,0.603986124,0.325524807,P62908,P62908,40S ribosomal protein S3,Rps3,,24,26.674,8,4,4,24.31559944,24.49099922,24.6753006,23.74270058,24.0442009,24.0692997,23.53800011,24.27099991
+,2.318376983,1.154125214,P62911,P62911,60S ribosomal protein L32,Rpl32,,4,15.86,8,4,4,22.90189934,23.28860092,23.04190063,22.61149979,21.87999916,22.22270012,21.1711998,21.95350075
,0.7148192298,0.7817249298,P62915,P62915,Transcription initiation factor IIB,Gtf2b,,9,34.819,6,2,4,14.43330002,NaN,15.52519989,NaN,14.60830021,13.91759968,13.6420002,14.62220001
,0.1584109812,0.2882494926,P62918,P62918,60S ribosomal protein L8,Rpl8,,7,28.024,8,4,4,24.98749924,23.7276001,24.08930016,25.37899971,24.58950043,22.62120056,24.43230057,25.38739967
,0.6657090247,0.3520998955,P62960;Q9Z2C8,P62960,Nuclease-sensitive element-binding protein 1,Ybx1,,17,35.73,8,4,4,25.22170067,25.42700005,25.86809921,25.44599915,25.30739975,24.9822998,24.6303997,25.63430023
,1.041903984,1.306949377,P62962;CON__P02584,P62962;CON__P02584,Profilin-1,Pfn1,+,10,14.957,8,4,4,15.84089947,18.17989922,17.91189957,18.32099915,16.45940018,16.97970009,15.68429947,15.90250015
+,3.278784912,1.092224598,P62983;P0CG50;P0CG49,P62983;P0CG50;P0CG49,Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Polyubiquitin-C;Ubiquitin;Ubiquitin-related 1;Ubiquitin-related 2;Polyubiquitin-B;Ubiquitin,Rps27a;Ubc;Ubb,,10,17.951,8,4,4,23.50309944,23.60910034,24.18499947,23.74939919,22.4939003,22.70179939,22.6909008,22.79109955
+,3.104237585,1.196475029,P62996,P62996,Transformer-2 protein homolog beta,Tra2b,,8,33.665,8,4,4,22.32789993,22.3348999,22.81139946,22.10099983,21.34259987,21.0977993,20.9083004,21.44059944
,1.835783308,1.142041604,P63001;P60764,P63001;P60764,Ras-related C3 botulinum toxin substrate 1;Ras-related C3 botulinum toxin substrate 3,Rac1;Rac3,,8,21.45,7,4,3,15.72910023,16.21649933,16.21380043,16.24250031,15.38479996,15.1796999,NaN,14.31080055
+,3.216299548,1.173174858,P63017;P17156,P63017,Heat shock cognate 71 kDa protein,Hspa8,,39,70.87,8,4,4,23.01619911,23.10700035,23.34469986,22.70190048,22.06240082,21.82909966,21.54520035,22.04039955
,0.01811633648,-0.1953002612,P63024;P63044,P63024,Vesicle-associated membrane protein 3,Vamp3,,3,11.48,7,4,3,14.74849987,15.09669971,23.14699936,22.78380013,13.48719978,NaN,21.84320068,22.08749962
,1.801137596,0.959499836,P63037,P63037,DnaJ homolog subfamily A member 1,Dnaja1,,17,44.868,8,4,4,19.17650032,19.62800026,19.54710007,19.02890015,18.88780022,18.6480999,17.74480057,18.26180077
,1.401780967,0.5419502258,P63038,P63038,"60 kDa heat shock protein, mitochondrial",Hspd1,,34,60.955,8,4,4,18.86289978,19.42210007,18.92580032,19.49500084,18.9836998,18.64649963,18.41130066,18.49650002
,1.858007322,0.8313250542,P63073,P63073,Eukaryotic translation initiation factor 4E,Eif4e,,6,25.053,8,4,4,18.34469986,18.74720001,18.95569992,17.88459969,17.5007,17.73239899,17.67770004,17.69610023
+,2.658151297,1.44175005,P63085;Q61532;Q6P5G0,P63085,Mitogen-activated protein kinase 1,Mapk1,,16,41.275,8,4,4,20.08620071,20.25499916,20.54360008,19.3185997,18.81839943,18.67720032,18.31879997,18.62199974
,1.569139848,0.6726002693,P63087,P63087,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,Ppp1cc,,18,36.983,8,4,4,19.72570038,19.86529922,19.95910072,18.99530029,19.07439995,19.10569954,18.81380081,18.86109924
+,2.224364484,1.386025429,P63101,P63101,14-3-3 protein zeta/delta,Ywhaz,,17,27.771,8,4,4,19.63579941,19.89800072,20.4197998,21.00130081,19.10490036,19.01989937,18.46879959,18.81719971
,0.4521505398,-0.2871754169,P63154,P63154,Crooked neck-like protein 1,Crnkl1,,13,83.415,8,4,4,16.84499931,15.97729969,16.89990044,16.75359917,17.15060043,16.62039948,16.55599976,17.29750061
,0.9585930884,1.048524857,P63158,P63158,High mobility group protein B1,Hmgb1,,9,24.893,8,4,4,16.47480011,17.67169952,17.00740051,18.82649994,16.40920067,16.93160057,15.8132,16.63229942
,0,2.679800351,P63242;Q8BGY2,P63242,Eukaryotic translation initiation factor 5A-1,Eif5a,,11,16.832,4,1,3,NaN,18.22920036,NaN,NaN,15.75209999,15.76990032,15.12619972,NaN
,2.831650016,0.9585003853,P63276,P63276,40S ribosomal protein S17,Rps17,,8,15.524,8,4,4,25.30509949,25.29570007,25.21660042,25.28030014,24.25749969,24.77899933,23.94619942,24.28100014
,0.1949198125,-0.228099823,P63323,P63323,40S ribosomal protein S12,Rps12,,5,14.525,8,4,4,18.84490013,19.71010017,20.45350075,19.15940094,19.64640045,19.63269997,19.19659996,20.60460091
,1.448399671,0.7419247627,P63325,P63325,40S ribosomal protein S10,Rps10,,8,18.916,8,4,4,21.43770027,21.94910049,22.04249954,22.18029976,20.92090034,20.84670067,21.81310081,21.06119919
+,5.217510813,1.98304232,P63330;P62715,P63330;P62715,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform;Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,Ppp2ca;Ppp2cb,,10,35.608,7,3,4,16.97570038,17.21759987,16.94790077,NaN,15.05889988,15.21109962,14.92169952,15.06439972
,1.922226515,0.9077510834,P67984,P67984,60S ribosomal protein L22,Rpl22,,4,14.759,8,4,4,25.42410088,25.80050087,26.04540062,25.05150032,24.83810043,24.85199928,24.28409958,24.71629906
+,1.938555799,1.941324711,P68033;P68134,P68033;P68134,"Actin, alpha cardiac muscle 1;Actin, alpha skeletal muscle",Actc1;Acta1,,22,42.019,8,4,4,23.77529907,23.56509972,24.03240013,22.08069992,22.29150009,20.78720093,21.40859985,21.20089912
,0,-0.8127999306,P68037,P68037,Ubiquitin-conjugating enzyme E2 L3,Ube2l3,,7,17.861,5,1,4,NaN,15.71350002,NaN,NaN,17.1378994,16.74180031,16.21319962,16.01230049
,0.3391281278,0.5174746513,P68040,P68040,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",Gnb2l1,,21,35.076,8,4,4,18.29339981,19.15749931,21.35890007,19.78759956,19.18700027,19.25349998,18.87779999,19.20919991
,1.13757525,0.8341499964,P68181,P68181,cAMP-dependent protein kinase catalytic subunit beta,Prkacb,,8,40.707,5,2,3,15.2585001,14.45600033,NaN,NaN,14.0333004,NaN,13.92409992,14.11190033
+,3.824741149,1.932974815,P68254,P68254,14-3-3 protein theta,Ywhaq,,12,27.778,8,4,4,19.40229988,19.96089935,20.18160057,19.35479927,17.82360077,17.85820007,17.50629997,17.979599
,2.112466933,0.7441744804,P68368,P68368,Tubulin alpha-4A chain,Tuba4a,,26,49.924,8,4,4,18.63150024,18.94549942,18.90360069,18.60589981,17.97730064,18.30310059,17.57430077,18.25510025
,1.863359924,1.129625797,P68372;A2AQ07,P68372,Tubulin beta-4B chain,Tubb4b,,25,49.83,8,4,4,23.26720047,23.3567009,23.78650093,22.57180023,22.12080002,22.38619995,21.52059937,22.43610001
+,3.893566707,2.00557518,P68510,P68510,14-3-3 protein eta,Ywhah,,14,28.211,8,4,4,16.14439964,15.47739983,16.53770065,15.99110031,14.04399967,14.16499996,13.83199978,14.0873003
,0.7925552925,0.404225111,P69566,P69566,Ran-binding protein 9,Ranbp9,,4,71.011,8,4,4,12.68970013,13.0632,13.56739998,12.84800053,13.00580025,12.20020008,12.68939972,12.65600014
+,4.95877566,1.662825108,P70168,P70168,Importin subunit beta-1,Kpnb1,,32,97.183,8,4,4,18.75239944,18.81369972,18.95870018,19.02910042,17.21850014,16.9253006,17.36949921,17.38929939
,1.250234851,0.4642248154,P70182;P70181,P70182,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha,Pip5k1a,,7,60.484,8,4,4,17.37730026,17.20179939,16.99079895,16.79949951,16.61509895,16.49340057,16.35169983,17.0522995
,0.4920628934,0.2683669726,P70195,P70195,Proteasome subunit beta type-7,Psmb7,,8,29.891,7,3,4,15.22700024,15.12790012,NaN,14.46740055,15.01659966,14.64939976,14.51220036,14.51140022
,1.870267319,0.7319755554,P70218,P70218,Mitogen-activated protein kinase kinase kinase kinase 1,Map4k1,,22,91.534,8,4,4,18.02120018,18.15110016,18.28569984,17.50769997,17.39509964,17.44009972,16.88999939,17.31259918
+,2.191402359,1.386450291,P70227,P70227,"Inositol 1,4,5-trisphosphate receptor type 3",Itpr3,,18,304.27,8,4,4,12.30290031,13.25580025,13.40299988,12.38310051,11.4513998,11.55150032,10.96399975,11.83209991
,0,0.5406000614,P70255,P70255,Nuclear factor 1 C-type,Nfic,,3,48.768,5,1,4,NaN,NaN,NaN,14.46420002,13.62320042,14.13249969,13.64659977,14.29209995
,0.1642342962,0.4661002159,P70257;Q02780,P70257,Nuclear factor 1 X-type,Nfix,,3,53.394,8,4,4,13.28250027,15.67469978,13.88510036,16.11490059,15.93659973,12.94750023,12.65869999,15.55000019
+,1.545302104,2.841599941,P70271,P70271,PDZ and LIM domain protein 4,Pdlim4,,3,35.556,6,4,2,14.1675005,14.65600014,16.26490021,13.97099972,NaN,NaN,11.38399982,12.46250057
,1.113116619,0.5827250481,P70279,P70279,Surfeit locus protein 6,Surf6,,5,41.234,8,4,4,16.79129982,17.02070045,17.49300003,16.81069946,16.45879936,16.61680031,15.83909988,16.87010002
,1.384943648,1.027524948,P70288,P70288,Histone deacetylase 2,Hdac2,,12,55.302,7,3,4,15.62759972,15.72259998,16.14430046,NaN,15.39120007,15.14820004,14.05130005,14.62520027
,0,1.594033559,P70290,P70290,55 kDa erythrocyte membrane protein,Mpp1,,12,52.227,4,3,1,12.90639973,13.40390015,12.61929989,NaN,11.38249969,NaN,NaN,NaN
,0,NaN,P70295,P70295,Ancient ubiquitous protein 1,Aup1,,3,46.121,4,4,0,16.32439995,17.50139999,14.24130058,17.71800041,NaN,NaN,NaN,NaN
,1.06236978,0.9445330302,P70315,P70315,Wiskott-Aldrich syndrome protein homolog,Was,,9,54.191,5,3,2,14.06290054,14.48900032,15.01869965,NaN,13.7364006,NaN,13.42160034,NaN
,0.757775,0.4167747498,P70318,P70318,Nucleolysin TIAR,Tial1,,11,43.388,8,4,4,19.39209938,19.8553009,20.08839989,19.31060028,19.14340019,19.7133007,18.77219963,19.35040092
,1.83499443,0.8052248955,P70333,P70333,Heterogeneous nuclear ribonucleoprotein H2,Hnrnph2,,12,49.279,8,4,4,20.08519936,19.91449928,20.53610039,19.49090004,19.2038002,19.25230026,18.93939972,19.4102993
,0.6727682188,0.5565998554,P70338;O70237,P70338,Zinc finger protein Gfi-1,Gfi1,,4,45.943,8,4,4,15.42339993,16.33449936,17.30550003,16.19149971,15.66989994,15.70079994,15.60830021,16.04949951
,2.102248859,0.8895249367,P70372,P70372,ELAV-like protein 1,Elavl1,,15,36.169,8,4,4,23.70630074,23.69709969,24.02319908,23.19729996,22.51250076,22.89019966,22.5284996,23.13459969
,0.8326906935,0.6343665123,P70388,P70388,DNA repair protein RAD50,Rad50,,17,153.49,5,2,3,NaN,11.1626997,NaN,11.7371006,10.55150032,10.70940018,NaN,11.18570042
+,1.400459917,1.376724958,P70398,P70398,Probable ubiquitin carboxyl-terminal hydrolase FAF-X,Usp9x,,41,290.71,8,4,4,12.94820023,13.10420036,14.1359005,11.67840004,11.55840015,11.97130013,11.60010052,11.2300005
+,2.909008895,3.28392458,P70404,P70404,"Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial",Idh3g,,10,42.785,7,3,4,15.98589993,14.6875,16.56579971,NaN,12.62580013,12.55770016,11.99550056,12.67090034
,0,0.942967097,P70459,P70459,ETS domain-containing transcription factor ERF,Erf,,1,59.05,4,3,1,10.67380047,10.95460033,11.4066,NaN,NaN,NaN,10.06869984,NaN
+,2.714371168,1.865458647,P70460,P70460,Vasodilator-stimulated phosphoprotein,Vasp,,12,39.666,7,4,3,13.41740036,13.57540035,13.34370041,12.9392004,10.90789986,12.02500057,11.42749977,NaN
+,3.217717903,2.551891645,P70658,P70658,C-X-C chemokine receptor type 4,Cxcr4,,3,40.426,7,4,3,16.13640022,16.4946003,16.04109955,15.34799957,NaN,13.85369968,13.35760021,13.1480999
,1.139720973,1.386566162,P70662,P70662,LIM domain-binding protein 1,Ldb1,,2,46.502,6,3,3,14.94649982,13.82159996,14.30889988,NaN,13.84940052,12.23900032,12.82890034,NaN
,0.6796050934,1.459049781,P70670;Q60817,P70670;Q60817,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha",Naca,,7,220.5,7,3,4,12.90859985,12.9052,NaN,15.5678997,13.09819984,13.50549984,11.71600056,11.01970005
,1.246097135,0.6405005455,P70698,P70698,CTP synthase 1,Ctps1,,24,66.682,8,4,4,18.08130074,18.11610031,18.45330048,17.74810028,17.46660042,17.06830025,17.19669914,18.10519981
,1.035502651,0.6102752686,P70700,P70700,DNA-directed RNA polymerase I subunit RPA2,Polr1b,,17,128.21,8,4,4,17.08670044,17.23340034,16.62120056,16.85709953,15.6303997,16.68400002,16.19630051,16.84659958
,0.1482638451,0.2478997707,P80313,P80313,T-complex protein 1 subunit eta,Cct7,,26,59.652,8,4,4,16.77429962,16.86919975,17.44750023,14.92519951,17.18530083,15.87689972,15.72770023,16.23469925
+,1.997593334,1.205124855,P80314,P80314,T-complex protein 1 subunit beta,Cct2,,29,57.477,8,4,4,19.23870087,18.45569992,18.88150024,18.39839935,18.19050026,17.59140015,16.93250084,17.43939972
+,2.855015155,1.256875038,P80315,P80315,T-complex protein 1 subunit delta,Cct4,,29,58.066,8,4,4,18.6147995,18.59259987,18.90119934,19.10420036,17.85199928,17.37380028,17.09569931,17.86380005
+,3.031212167,1.292599678,P80316,P80316,T-complex protein 1 subunit epsilon,Cct5,,25,59.623,8,4,4,18.33849907,18.84449959,18.65579987,18.94879913,17.58289909,17.59230042,16.90509987,17.53689957
+,2.981637896,1.442324162,P80317;Q61390,P80317,T-complex protein 1 subunit zeta,Cct6a,,23,58.004,8,4,4,18.48309898,18.54719925,18.74799919,17.88509941,17.18180084,16.54859924,16.91860008,17.24510002
,1.923945909,1.098525047,P80318,P80318,T-complex protein 1 subunit gamma,Cct3,,26,60.629,8,4,4,18.31030083,18.14940071,19.05669975,17.58989906,17.33390045,17.06270027,17.10219955,17.21339989
,0,NaN,P81183,P81183,Zinc finger protein Helios,Ikzf2,,2,59.4,3,3,0,15.63129997,16.2663002,16.05130005,NaN,NaN,NaN,NaN,NaN
,0.312506181,0.2939748764,P83870,P83870,PHD finger-like domain-containing protein 5A,Phf5a,,2,12.405,8,4,4,16.21260071,17.87879944,16.48349953,16.3579998,16.50939941,16.6704998,16.31060028,16.26650047
+,4.022685051,2.261574268,P83882,P83882,60S ribosomal protein L36a,Rpl36a,,3,12.441,8,4,4,22.96299934,23.13349915,23.55900002,22.48259926,21.00979996,20.81990051,20.4946003,20.76749992
,0.09235712011,-0.1837997437,P83887;Q8VCK3,P83887;Q8VCK3,Tubulin gamma-1 chain;Tubulin gamma-2 chain,Tubg1;Tubg2,,8,51.1,8,4,4,14.20009995,15.87559986,14.67930031,16.57740021,14.1718998,15.64260006,15.81649971,16.43659973
,1.498631986,1.123950481,P84078,P84078,ADP-ribosylation factor 1,Arf1,,11,20.697,8,4,4,18.8708992,18.67000008,19.63660049,18.24710083,18.37730026,17.97319984,17.10129929,17.47699928
,0.9423650744,0.95642519,P84089,P84089,Enhancer of rudimentary homolog,Erh,,3,12.259,8,4,4,17.24650002,17.97410011,19.42239952,18.7045002,17.3362999,17.53789902,16.79990005,17.84770012
,0.9296872558,1.007899761,P84091,P84091,AP-2 complex subunit mu,Ap2m1,,17,49.654,8,4,4,19.21260071,20.08930016,20.33609962,18.39489937,17.63960075,18.5991993,18.51810074,19.24440002
,2.056514074,1.09862566,P84099,P84099,60S ribosomal protein L19,Rpl19,,7,23.466,8,4,4,24.50390053,25.10950089,25.26980019,24.23649979,23.69199944,23.85540009,23.25279999,23.92499924
,0.2448125668,0.2023501396,P84104,P84104,Serine/arginine-rich splicing factor 3,Srsf3,,4,19.329,8,4,4,22.78389931,22.43020058,23.14590073,21.68090057,22.38809967,22.29590034,21.97970009,22.56780052
,0,0.5306997299,P97287,P97287,Induced myeloid leukemia cell differentiation protein Mcl-1 homolog,Mcl1,,5,35.217,4,3,1,13.21040058,13.47980022,NaN,13.21189976,12.77000046,NaN,NaN,NaN
,1.613262997,0.8796253204,P97304,P97304,DNA-directed RNA polymerases I and III subunit RPAC2,Polr1d,,3,15.072,8,4,4,16.84749985,16.46479988,17.24850082,16.40950012,16.01070023,15.75819969,15.31669998,16.36619949
,0.07836894713,-0.1267750263,P97310,P97310,DNA replication licensing factor MCM2,Mcm2,,40,102.08,8,4,4,15.05360031,15.43659973,14.82800007,15.02979946,16.77549934,15.30280018,14.57159996,14.2052002
,1.069483763,-0.8031497002,P97311,P97311,DNA replication licensing factor MCM6,Mcm6,,36,92.866,8,4,4,14.6406002,13.77169991,13.62820053,15.25329971,14.92519951,15.10579967,15.30000019,15.17539978
,0.004584023927,0.01838286718,P97315,P97315,Cysteine and glycine-rich protein 1,Csrp1,,5,20.583,7,3,4,10.37979984,14.92759991,15.25449944,NaN,13.52820015,13.78030014,13.05980015,13.64070034
,1.532054786,0.680150032,P97329,P97329,Kinesin-like protein KIF20A,Kif20a,,12,99.875,8,4,4,14.5323,14.53030014,14.5479002,13.73490047,13.63879967,13.3010006,13.78149986,13.90350056
,1.671123532,0.8230500221,P97351,P97351,40S ribosomal protein S3a,Rps3a,,19,29.885,8,4,4,25.06170082,25.46940041,25.7493,25.23259926,24.36190033,24.67959976,24.0760994,25.10320091
,0.02387345201,-0.02965021133,P97358,P97358,TATA box-binding protein-associated factor RNA polymerase I subunit B,Taf1b,,4,67.953,8,4,4,15.40549946,15.62209988,14.03209972,14.34280014,14.70120049,15.26959991,14.53030014,15.0199995
,0.432450163,0.3638496399,P97363,P97363,Serine palmitoyltransferase 2,Sptlc2,,8,62.981,8,4,4,11.71119976,11.5241003,13.09469986,11.94439983,11.85400009,11.33370018,11.74190044,11.88940048
,0,1.577325583,P97372,P97372,Proteasome activator complex subunit 2,Psme2,,7,27.057,5,1,4,NaN,NaN,NaN,16.44630051,14.73550034,14.91549969,13.73600006,16.08889961
,0.3244598175,0.257525444,P97376,P97376,Protein FRG1,Frg1,,7,29.127,8,4,4,19.02050018,18.93420029,19.16010094,17.95009995,18.94680023,18.32259941,18.07410049,18.69129944
+,1.967655698,1.288399696,P97379,P97379,Ras GTPase-activating protein-binding protein 2,G3bp2,,21,54.087,8,4,4,24.25779915,24.31299973,24.81469917,23.71360016,22.76609993,23.31609917,22.32830048,23.53499985
+,3.389923578,3.45849967,P97386,P97386,DNA ligase 3,Lig3,,12,113.07,8,4,4,14.97429943,14.8348999,14.97900009,14.45839977,10.45769978,11.05520058,12.69330025,11.20639992
+,3.337071576,2.147350311,P97434,P97434,Myosin phosphatase Rho-interacting protein,Mprip,,56,116.41,8,4,4,21.79059982,21.81800079,22.45820045,21.16900063,20.06200027,19.36260033,19.41329956,19.80850029
,1.797258253,0.6475749016,P97440,P97440,Histone RNA hairpin-binding protein,Slbp,,4,31.603,8,4,4,17.84020042,18.1868,18.56229973,17.82839966,17.70409966,17.31389999,17.34840012,17.46100044
,0.427396949,0.166200161,P97452,P97452,Ribosome biogenesis protein BOP1,Bop1,,19,82.545,8,4,4,18.60759926,18.94210052,18.99430084,18.45459938,18.49219894,18.65810013,18.32629967,18.85720062
,2.076034237,1.056325436,P97461,P97461,"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed",Rps5,,10,22.889,8,4,4,22.63319969,22.77770042,22.94190025,22.51280022,21.30279922,22.09420013,21.13269997,22.11059952
,0.9918813453,0.4444494247,P97473,P97473,RISC-loading complex subunit TARBP2,Tarbp2,,8,38.842,8,4,4,18.24270058,18.89419937,18.03109932,17.99099922,18.03030014,17.81380081,17.58709908,17.95000076
+,2.862133878,1.312449932,P97474;O35160;P70314,P97474;O35160;P70314,Pituitary homeobox 2;Pituitary homeobox 3;Pituitary homeobox 1,Pitx2;Pitx3;Pitx1,,2,35.32,8,4,4,14.51609993,14.8312006,15.19740009,14.80140018,13.4368,13.6189003,13.06920052,13.97140026
,0.2368709993,-0.358399868,P97477,P97477,Aurora kinase A,Aurka,,8,44.772,8,4,4,15.93989944,13.13850021,14.25730038,14.19420052,15.17440033,14.50650024,14.96589947,14.31669998
,0.2099358197,0.3502998352,P97496,P97496,SWI/SNF complex subunit SMARCC1,Smarcc1,,29,122.89,8,4,4,15.2166996,14.94239998,15.70390034,12.78270054,14.59290028,14.48309994,13.89230061,14.27620029
,2.034337219,0.6375002861,P97742,P97742,"Carnitine O-palmitoyltransferase 1, liver isoform",Cpt1a,,4,88.25,8,4,4,13.95260048,14.08209991,13.98400021,13.80410004,13.15639973,13.55000019,12.9513998,13.61499977
,0.1475290207,0.4796497822,P97760,P97760,DNA-directed RNA polymerase II subunit RPB3,Polr2c,,5,31.443,8,4,4,18.22559929,18.39529991,19.29610062,13.96049976,17.13489914,16.80820084,16.20680046,17.80900002
,0.09518238819,0.1255500317,P97770,P97770,THUMP domain-containing protein 3,Thumpd3,,15,56.431,8,4,4,16.9307003,15.16179943,15.2961998,16.32979965,16.29039955,15.92920017,15.8107996,15.18589973
,1.390124412,0.708325386,P97789,P97789,5-3 exoribonuclease 1,Xrn1,,23,194.31,8,4,4,18.11450005,18.42810059,18.64819908,17.5258007,17.63369942,17.33959961,17.19599915,17.7140007
,1.358425901,0.6903004646,P97801,P97801,Survival motor neuron protein,Smn1,,3,31.254,8,4,4,19.2098999,18.13829994,18.08250046,18.69420052,17.92199898,17.93580055,17.68519974,17.82069969
,1.813538709,0.9933505058,P97820;P83510,P97820,Mitogen-activated protein kinase kinase kinase kinase 4,Map4k4,,17,140.6,8,4,4,17.34329987,17.45739937,18.05739975,16.82500076,16.74729919,16.54059982,16.01499939,16.40679932
,0,2.204524994,P97822,P97822,Acidic leucine-rich nuclear phosphoprotein 32 family member E,Anp32e,,6,29.622,5,1,4,NaN,NaN,NaN,16.11540031,13.94000053,13.40550041,12.30790043,15.99009991
+,2.601611504,1.176450253,P97855,P97855,Ras GTPase-activating protein-binding protein 1,G3bp1,,17,51.828,8,4,4,23.67300034,23.53639984,23.83440018,22.92020035,22.30990028,22.17289925,22.10479927,22.67060089
+,2.376524668,1.225049257,P97868,P97868,E3 ubiquitin-protein ligase RBBP6,Rbbp6,,14,199.59,8,4,4,17.11319923,17.71069908,17.56139946,16.84029961,16.17180061,16.31089973,15.53209972,16.31060028
,0,NaN,P97929,P97929,Breast cancer type 2 susceptibility protein homolog,Brca2,,2,370.66,4,0,4,NaN,NaN,NaN,NaN,10.81190014,10.84350014,10.15999985,10.6722002
+,3.091936783,1.409574986,P99024,P99024,Tubulin beta-5 chain,Tubb5,,24,49.67,8,4,4,22.23360062,22.36940002,22.54560089,21.72529984,20.74740028,21.12100029,20.44510078,20.92210007
,1.680198796,0.9908251762,P99027,P99027,60S acidic ribosomal protein P2,Rplp2,,3,11.651,8,4,4,19.96190071,19.62030029,20.10079956,18.84939957,18.34460068,18.67619896,18.49729919,19.0510006
,1.609410969,1.152900219,Q00417;Q9Z1J1;Q924A0;P27782,Q00417,Transcription factor 7,Tcf7,,7,45.465,8,4,4,19.13220024,19.30760002,19.46179962,18.14669991,18.03549957,17.37240028,17.55349922,18.47529984
,2.443097172,0.8964753151,Q00547,Q00547,Hyaluro1000 mediated motility receptor,Hmmr,,24,91.784,8,4,4,19.44659996,19.68910027,19.85930061,19.27890015,18.69499969,18.55970001,18.37290001,19.06040001
+,2.486509326,1.21454978,Q00899;Q3TTC2,Q00899,Transcriptional repressor protein YY1,Yy1,,8,44.716,8,4,4,15.7585001,15.64509964,15.70580006,15.38739967,13.87960052,14.98799992,14.1651001,14.60589981
,1.553273886,0.7041506767,Q00PI9,Q00PI9,Heterogeneous nuclear ribonucleoprotein U-like protein 2,Hnrnpul2,,19,84.939,8,4,4,19.71640015,19.66349983,20.15590096,19.11440086,19.1215992,18.94109917,18.62870026,19.14220047
,1.332670499,1.117000103,Q01147,Q01147,Cyclic AMP-responsive element-binding protein 1,Creb1,,3,36.674,8,4,4,16.86730003,17.86700058,18.16449928,17.19169998,16.68199921,16.67259979,15.41650009,16.85140038
+,3.914669892,1.523299932,Q01320,Q01320,DNA topoisomerase 2-alpha,Top2a,,46,172.79,8,4,4,17.77039909,17.69210052,17.80500031,17.31310081,16.37639999,15.77620029,16.06780052,16.2670002
