Significant,-LOG(P-value),Difference,Protein IDs,Majority protein IDs,Protein names,Gene names,Potential contaminant,Peptides,Valid values,Valid values 60 min,Valid values unstim,60 min stim FG159 neu,60 min stim FG160 neu,60 min stim FG161 neu,60 min stim FG162 neu,unstim FG10 neu,unstim FG11 neu,unstim FG12 neu,unstim FG9 neu
,0.2646057702,-0.2270007133,P19182,P19182,Interferon-related developmental regulator 1,Ifrd1,,2,8,4,4,12.83899975,12.23569965,11.86839962,11.67109966,12.88290024,12.4793005,12.44070053,11.71930027
+,1.614641975,-1.328700304,P19246,P19246,Neurofilament heavy polypeptide,Nefh,,13,8,4,4,13.13010025,14.43900013,14.07139969,15.13819981,15.3998003,15.76879978,15.76790047,15.15700054
+,1.756542943,-1.208499908,P19253,P19253,60S ribosomal protein L13a,Rpl13a,,10,8,4,4,23.01589966,23.99110031,22.58259964,23.96590042,24.81539917,24.27169991,24.55800056,24.74440002
,0,NaN,P19426,P19426,Negative elongation factor E,Nelfe,,5,4,0,4,NaN,NaN,NaN,NaN,15.02649975,15.80070019,16.40819931,14.39239979
,0.2195935113,-0.1555752754,P20029,P20029,78 kDa glucose-regulated protein,Hspa5,,32,8,4,4,20.53149986,21.52549934,20.82290077,21.66329956,21.31060028,21.07439995,21.33979988,21.44070053
+,2.512024717,-1.284699917,P20152;P15331;P08553,P20152,Vimentin,Vim,,53,8,4,4,24.06839943,25.24110031,24.6644001,25.13369942,25.99790001,26.09399986,26.12879944,26.02569962
,0,6.53821969,P20444;P63318,P20444,Protein kinase C alpha type,Prkca,,9,5,4,1,14.67160034,15.3142004,15.44099998,16.13159943,NaN,NaN,NaN,8.851380348
+,4.293947405,3.154250145,P21107,P21107,Tropomyosin alpha-3 chain,Tpm3,,16,8,4,4,22.81959915,24.00909996,23.1746006,23.59329987,20.0510006,19.87360001,20.45949936,20.59549904
+,1.917960509,-3.607104937,P21619,P21619,Lamin-B2,Lmnb2,,6,5,2,3,8.013660431,9.670129776,NaN,NaN,12.79909992,12.36359978,NaN,12.18430042
+,2.540569572,3.505624533,P21958,P21958,Antigen peptide transporter 1,Tap1,,10,6,4,2,15.42510033,15.70650005,16.52039909,16.75429916,NaN,13.00419998,12.18770027,NaN
,0,0,P22366,P22366,Myeloid differentiation primary response protein MyD88,Myd88,,16,8,4,4,23.88419914,23.88419914,23.88419914,23.88419914,23.88419914,23.88419914,23.88419914,23.88419914
+,1.46065716,-2.171700001,P22518,P22518,Dual specificity protein kinase CLK1,Clk1,,9,6,2,4,NaN,NaN,12.13360023,14.21290016,15.00510025,15.14990044,15.81470013,15.41009998
,0,NaN,P22646,P22646,T-cell surface glycoprotein CD3 epsilon chain,Cd3e,,1,4,4,0,14.38770008,15.56649971,14.80480003,15.98419952,NaN,NaN,NaN,NaN
,1.350108087,-0.7843751907,P23116,P23116,Eukaryotic translation initiation factor 3 subunit A,Eif3a,,40,8,4,4,17.79699898,18.93190002,18.84700012,19.11369896,19.42350006,19.22039986,19.61219978,19.57099915
,0.5779088102,-0.3527750969,P23198,P23198,Chromobox protein homolog 3,Cbx3,,6,8,4,4,18.5128994,19.45159912,19.0727005,19.81159973,19.42670059,19.62439919,19.73530006,19.4734993
,0.440288235,0.472325325,P23242,P23242,Gap junction alpha-1 protein,Gja1,,10,8,4,4,16.55780029,17.71579933,17.33090019,17.56139946,16.0170002,16.99279976,16.39259911,17.87419891
,0.3191496112,0.2336001396,P23249,P23249,Putative helicase MOV-10,Mov10,,48,8,4,4,20.37919998,21.53420067,21.32979965,21.76580048,20.98629951,20.86910057,21.13619995,21.08300018
+,3.468551362,-1.407650232,P23298,P23298,Protein kinase C eta type,Prkch,,13,8,4,4,15.40219975,16.13249969,15.79170036,16.08769989,17.09659958,17.13150024,17.30760002,17.50900078
+,3.466255038,4.93364954,P23475,P23475,X-ray repair cross-complementing protein 6,Xrcc6,,15,6,4,2,16.64640045,17.07169914,16.87899971,16.72469902,NaN,12.56739998,NaN,11.2262001
,0.04143071211,-0.06428352992,P23772,P23772,Trans-acting T-cell-specific transcription factor GATA-3,Gata3,,2,5,2,3,14.26000023,NaN,NaN,15.34809971,NaN,14.4236002,15.28530025,14.89610004
,0,1.293174982,P23906,P23906,Interferon regulatory factor 2,Irf2,,1,5,4,1,11.29269981,11.17409992,11.96039963,11.44849968,NaN,10.17574978,NaN,NaN
,0.296541092,-0.4977001349,P23949,P23949,"Zinc finger protein 36, C3H1 type-like 2",Zfp36l2,,3,7,3,4,13.92959976,NaN,12.81210041,13.96199989,14.99750042,13.29500008,14.93150043,13.0383997
+,1.231002264,1.705824852,P24270,P24270,Catalase,Cat,,16,8,4,4,13.87559986,15.54170036,14.30679989,15.48210049,14.76819992,12.05650043,12.42660046,13.13160038
+,1.182859824,-2.41463232,P24288,P24288,"Branched-chain-amino-acid aminotransferase, cytosolic",Bcat1,,2,8,4,4,11.80290031,10.09570026,9.114100456,10.29948044,13.81169987,13.41120052,9.997210503,13.75059986
,0.8462375308,-0.598400116,P24369,P24369,Peptidyl-prolyl cis-trans isomerase B,Ppib,,2,8,4,4,14.37759972,14.80760002,15.21990013,14.97070026,15.35420036,15.05440044,15.02420044,16.33659935
+,1.681270937,2.558414698,P24527,P24527,Leukotriene A-4 hydrolase,Lta4h,,5,8,4,4,12.54500008,11.86219978,13.24279976,12.08189964,11.90320015,8.780950546,8.615960121,10.19812965
+,2.621991225,1.891525269,P24547,P24547,Inosine-5-monophosphate dehydrogenase 2,Impdh2,,20,8,4,4,18.22520065,19.37369919,19.1182003,19.73970032,17.30069923,16.71809959,17.2140007,17.65789986
,2.035837875,-0.8347754478,P24788;Q64434,P24788,Cyclin-dependent kinase 11B,Cdk11b,,10,8,4,4,14.3810997,14.2258997,14.79609966,14.45339966,15.54660034,15.59910011,15.26000023,14.78989983
+,2.919747825,-1.283474922,P24860,P24860,G2/mitotic-specific cyclin-B1,Ccnb1,,4,8,4,4,14.37720013,15.11989975,14.42080021,15.04580021,15.82929993,15.95489979,16.00119972,16.31220055
,0.3671567851,-0.1880002022,P25206,P25206,DNA replication licensing factor MCM3,Mcm3,,34,8,4,4,17.85330009,18.42519951,18.73699951,18.34829903,18.84140015,18.37039948,18.28689957,18.61709976
+,3.200399047,-1.38585043,P25444,P25444,40S ribosomal protein S2,Rps2,,19,8,4,4,24.36459923,24.33180046,23.94919968,24.30859947,25.10090065,25.60960007,25.97369957,25.81340027
+,1.58844873,-3.094524384,P25916,P25916,Polycomb complex protein BMI-1,Bmi1,,5,8,4,4,15.1661005,15.79950047,15.28970051,11.32330036,17.94210052,17.54509926,16.99699974,17.47249985
+,3.114163575,1.568074942,P25976,P25976,Nucleolar transcription factor 1,Ubtf,,11,8,4,4,16.80949974,17.35470009,16.7534008,17.04459953,14.86839962,15.35280037,15.63150024,15.83720016
,0.642274736,0.7253499031,P26039;Q71LX4,P26039,Talin-1,Tln1,,18,8,4,4,12.80440044,12.48950005,14.41969967,13.37940025,12.41759968,12.65410042,13.37020016,11.74970055
+,1.780268622,-1.19137454,P26040;P26043,P26040,Ezrin,Ezr,,12,8,4,4,15.60029984,16.26079941,15.27690029,16.23579979,17.54089928,16.44409943,16.71979904,17.43449974
,0.1192722036,0.4474244118,P26041,P26041,Moesin,Msn,,13,8,4,4,15.25129986,16.34429932,15.65149975,20.89609909,16.8743,15.42749977,16.26000023,17.79170036
,0.250194291,-0.0984249115,P26369,P26369,Splicing factor U2AF 65 kDa subunit,U2af2,,16,8,4,4,21.62260056,21.86989975,21.57640076,22.2548008,21.87479973,21.88150024,21.91340065,22.04770088
,0,NaN,P26443,P26443,"Glutamate dehydrogenase 1, mitochondrial",Glud1,,5,4,4,0,13.46810055,13.3550005,12.08539963,13.9470005,NaN,NaN,NaN,NaN
+,4.186241334,-6.767132759,P26450,P26450,Phosphatidylinositol 3-kinase regulatory subunit alpha,Pik3r1,,2,5,3,2,11.54609966,NaN,11.47480011,11.03470039,NaN,NaN,18.07189941,18.16609955
,1.084354021,1.161600113,P26516,P26516,26S proteasome non-ATPase regulatory subunit 7,Psmd7,,4,8,4,4,15.54199982,14.3906002,15.05119991,16.56389999,13.45339966,13.95489979,14.7052002,14.78779984
+,1.449728684,-1.230550051,P26638,P26638,"Serine--tRNA ligase, cytoplasmic",Sars,,11,8,4,4,16.01889992,15.96329975,17.51720047,17.17309952,18.30669975,17.46430016,17.56539917,18.25830078
,0.8432492785,-0.4258751869,P27048;P63163,P27048;P63163,Small nuclear ribonucleoprotein-associated protein B;Small nuclear ribonucleoprotein-associated protein N,Snrpb;Snrpn,,6,8,4,4,17.40099907,18.05800056,18.23340034,18.47509956,18.59880066,18.15729904,18.51350021,18.60140038
,1.145874607,-0.5919499397,P27546,P27546,Microtubule-associated protein 4,Map4,,21,8,4,4,16.15139961,17.26639938,16.68400002,16.74160004,17.39949989,17.01199913,17.66810036,17.13159943
,0,NaN,P27601,P27601,Guanine nucleotide-binding protein subunit alpha-13,Gna13,,2,4,4,0,13.46810055,17.41919899,15.14630032,15.8871994,NaN,NaN,NaN,NaN
+,2.628991624,-1.09572506,P27612,P27612,Phospholipase A-2-activating protein,Plaa,,6,8,4,4,12.78009987,13.61750031,13.20479965,13.0333004,14.34010029,13.96749973,14.56130028,14.14970016
,0,4.989650011,P27641,P27641,X-ray repair cross-complementing protein 5,Xrcc5,,16,5,4,1,15.99289989,17.16040039,17.12400055,16.95129967,NaN,NaN,NaN,11.81750011
+,3.827373134,-1.264274597,P27659,P27659,60S ribosomal protein L3,Rpl3,,22,8,4,4,23.52879906,23.7614994,23.76029968,23.49780083,25.1378994,24.56679916,25.07959938,24.82119942
+,1.470420138,1.206399441,P27773,P27773,Protein disulfide-isomerase A3,Pdia3,,17,8,4,4,16.6208992,17.31949997,16.8307991,16.76510048,16.54800034,15.10050011,16.20980072,14.85239983
,0.1653084758,-0.09857463837,P27870,P27870,Proto-oncogene vav,Vav1,,31,8,4,4,17.8281002,18.49900055,18.75270081,18.76799965,18.64559937,18.39559937,18.6923008,18.50860023
,0,2.638674736,P28033,P28033,CCAAT/enhancer-binding protein beta,Cebpb,,4,5,4,1,15.94750023,16.69079971,15.35099983,16.125,NaN,13.38990021,NaN,NaN
+,2.870012078,2.106074572,P28063,P28063,Proteasome subunit beta type-8,Psmb8,,4,8,4,4,15.91679955,15.84090042,15.88640022,17.03849983,14.72090054,13.65950012,14.09450054,13.78340054
,0.6039797928,-1.106274605,P28352,P28352,"DNA-(apurinic or apyrimidinic site) lyase;DNA-(apurinic or apyrimidinic site) lyase, mitochondrial",Apex1,,3,8,4,4,12.60850048,15.59800053,12.68580055,15.57610035,15.14669991,15.11299992,15.72220039,14.91160011
,0,-0.7896003723,P28474,P28474,Alcohol dehydrogenase class-3,Adh5,,2,5,4,1,15.22560024,13.56439972,14.83310032,14.18610001,NaN,NaN,NaN,15.24190044
,1.872209881,0.8815751076,P28656,P28656,Nucleosome assembly protein 1-like 1,Nap1l1,,13,8,4,4,20.76959991,21.65819931,21.66670036,21.2390995,20.76119995,20.47909927,20.08189964,20.48509979
,0.4488645318,0.6938996315,P28659,P28659,CUGBP Elav-like family member 1,Celf1,,7,8,4,4,16.45190048,16.17020035,16.79159927,17.35179901,16.94790077,16.44529915,14.09070015,16.50600052
,0,NaN,P28667,P28667,MARCKS-related protein,Marcksl1,,2,4,4,0,14.36289978,16.00119972,15.48980045,15.09660053,NaN,NaN,NaN,NaN
+,1.16773283,-1.389499903,P28738,P28738,Kinesin heavy chain isoform 5C,Kif5c,,8,6,2,4,NaN,14.41129971,NaN,14.7823,16.89999962,15.4392004,15.35610008,16.24989891
+,2.753245771,-1.356050491,P28740,P28740,Kinesin-like protein KIF2A,Kif2a,,28,8,4,4,17.97539902,18.67169952,18.02289963,18.58460045,19.62750053,19.28050041,20.13800049,19.63279915
+,1.261103945,1.578899701,P29037;Q6SJ95,P29037,TATA-box-binding protein,Tbp,,3,7,4,3,16.78249931,17.26399994,17.59790039,15.36359978,15.67770004,14.65250015,NaN,15.18910027
+,3.22342792,-1.826550007,P29341,P29341,Polyadenylate-binding protein 1,Pabpc1,,37,8,4,4,22.87030029,23.7548008,23.23060036,24.01199913,25.23590088,25.05669975,25.57110023,25.31019974
+,2.701971317,-1.2885499,P29351,P29351,Tyrosine-protein phosphatase non-receptor type 6,Ptpn6,,30,8,4,4,17.59729958,18.31139946,17.93440056,18.54640007,19.53919983,18.99550056,19.5522995,19.45669937
,0.284278658,0.6400854588,P29352,P29352,Tyrosine-protein phosphatase non-receptor type 22,Ptpn22,,7,8,4,4,12.88100052,12.95400047,14.00349998,13.38510036,13.66989994,9.985059738,13.74839973,13.25990009
,0,1.938999653,P29452,P29452,Caspase-1;Caspase-1 subunit p20;Caspase-1 subunit p10,Casp1,,6,5,4,1,12.99790001,14.00710011,14.60140038,14.51640034,NaN,NaN,12.09170055,NaN
,0.5534064921,-0.9852747917,P29758,P29758,"Ornithine aminotransferase, mitochondrial",Oat,,5,8,4,4,14.16689968,14.25600052,15.34030056,14.43249989,16.99559975,13.78629971,14.6413002,16.71360016
+,2.48397164,-1.481899738,P30415,P30415,NK-tumor recognition protein;Putative peptidyl-prolyl cis-trans isomerase,Nktr,,12,8,4,4,13.4786005,14.47399998,13.94180012,14.67380047,15.98190022,15.22210026,15.53979969,15.75199986
,0.6206927007,-0.6236999035,P30416,P30416,"Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed",Fkbp4,,8,8,4,4,13.69460011,15.05220032,14.46660042,15.27670002,15.85809994,14.34010029,15.36439991,15.42230034
,0.09692557321,0.06695985794,P30658,P30658,Chromobox protein homolog 2,Cbx2,,7,8,4,4,10.41740036,11.09459972,10.32359982,10.86740017,11.11559963,10.39560032,10.55831051,10.36565018
,0.9130733159,1.10640049,P30681,P30681,High mobility group protein B2,Hmgb2,,4,8,4,4,17.27980042,19.19599915,17.51420021,18.75860023,17.94939995,16.07679939,16.87649918,17.42029953
,0.7575952067,-0.6281747818,P31230,P31230,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;Endothelial monocyte-activating polypeptide 2,Aimp1,,11,8,4,4,16.92420006,18.64069939,17.60429955,18.24440002,18.19109917,18.2262001,18.71789932,18.79109955
,1.753098874,-1.066475868,P31266;O08674,P31266,Recombining binding protein suppressor of hairless,Rbpj,,12,8,4,4,16.28999901,17.71369934,17.15029907,16.56669998,18.00189972,17.74410057,18.10700035,18.13360023
,0,NaN,P31938,P31938,Dual specificity mitogen-activated protein kinase kinase 1,Map2k1,,2,4,4,0,10.13669968,10.72177982,9.923000336,10.39634991,NaN,NaN,NaN,NaN
+,4.520380515,-1.86362505,P32067,P32067,Lupus La protein homolog,Ssb,,18,8,4,4,19.53630066,20.02809906,19.54179955,20.13610077,21.77160072,21.74419975,21.5529995,21.62800026
+,4.340940591,-2.274300098,P32233,P32233,Developmentally-regulated GTP-binding protein 1,Drg1,,13,8,4,4,17.11120033,17.67639923,17.1887989,16.84090042,19.54389954,19.09049988,19.63610077,19.6439991
,0.1947626102,0.2252500057,P32921,P32921,"Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS",Wars,,6,8,4,4,13.94960022,14.85529995,15.01379967,15.40420055,13.91129971,14.96409988,14.12390041,15.32260036
+,4.520818555,-2.634149551,P33174,P33174,Chromosome-associated kinesin KIF4,Kif4,,23,8,4,4,13.74540043,14.32789993,14.51760006,14.64929962,16.68319893,16.89279938,17.28219986,16.91860008
,0.02480248449,0.05469989777,P33215,P33215,Protein NEDD1,Nedd1,,5,8,4,4,13.29259968,14.97650051,14.26720047,14.63140011,14.26860046,15.30360031,12.36740017,15.00930023
,1.052093551,-1.209572315,P33609,P33609,DNA polymerase alpha catalytic subunit,Pola1,,4,6,4,2,9.584799767,9.002110481,9.220700264,10.62090015,10.73740005,10.89599991,NaN,NaN
+,0.7157822486,5.196701686,P33610,P33610,DNA primase large subunit,Prim2,,3,7,4,3,11.3803997,20.17180061,9.028400421,20.13949966,9.683119774,9.881850243,NaN,10.38500023
+,2.999380522,2.654049635,P34022,P34022,Ran-specific GTPase-activating protein,Ranbp1,,5,8,4,4,16.97629929,17.26609993,17.43449974,18.03820038,15.77620029,14.71000004,13.8980999,14.71460056
,0.5025425167,0.4745001793,P35123,P35123,Ubiquitin carboxyl-terminal hydrolase 4,Usp4,,13,8,4,4,14.10470009,15.16320038,14.80360031,15.39319992,15.28649998,14.46100044,13.80519962,14.01399994
,0,NaN,P35235,P35235,Tyrosine-protein phosphatase non-receptor type 11,Ptpn11,,5,4,4,0,14.3597002,13.21430016,15.03830051,15.28270054,NaN,NaN,NaN,NaN
+,3.188453064,2.239224672,P35278;P61021,P35278,Ras-related protein Rab-5C,Rab5c,,7,8,4,4,17.46859932,18.4095993,17.63529968,18.88330078,16.06739998,15.62510014,15.78550053,15.96189976
,0,4.709724665,P35279;P61294;Q8BHD0,P35279;P61294;Q8BHD0,Ras-related protein Rab-6A;Ras-related protein Rab-6B;Ras-related protein Rab-39A,Rab6a;Rab6b;Rab39a,,2,5,4,1,17.02470016,17.25860023,17.48089981,15.80309963,12.1821003,NaN,NaN,NaN
,0.5226869266,0.4380254745,P35293,P35293,Ras-related protein Rab-18,Rab18,,6,8,4,4,16.81220055,17.68020058,16.91589928,17.50289917,16.77529907,16.0977993,16.63699913,17.64900017
,0.2845704466,0.3101754189,P35486,P35486,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",Pdha1,,6,8,4,4,16.29809952,17.28639984,16.90439987,17.12409973,17.30489922,16.77129936,15.45199966,16.84409904
+,2.546663369,-1.642050266,P35550,P35550,rRNA 2-O-methyltransferase fibrillarin,Fbl,,18,8,4,4,18.55920029,19.44350052,18.34539986,19.65259933,20.7140007,20.36429977,20.85540009,20.6352005
+,2.868577598,2.116649389,P35564,P35564,Calnexin,Canx,,10,8,4,4,16.89679909,17.72410011,16.9340992,17.87779999,15.72720051,14.91180038,14.6402998,15.68690014
+,2.851480545,-1.724799156,P35585;Q9WVP1,P35585,AP-1 complex subunit mu-1,Ap1m1,,12,8,4,4,15.39179993,15.69490051,15.30660057,16.40679932,17.6432991,16.92199898,17.3987999,17.73519897
+,1.838190659,-1.314374447,P35601,P35601,Replication factor C subunit 1,Rfc1,,32,8,4,4,16.00699997,17.04610062,17.6487999,17.41349983,18.51709938,17.94179916,18.44260025,18.47139931
+,3.481608838,2.352925301,P35700,P35700,Peroxiredoxin-1,Prdx1,,13,8,4,4,20.84819984,21.86619949,21.03520012,21.60140038,18.81760025,18.54579926,19.01169968,19.56419945
,0,NaN,P35761,P35761,Dual specificity protein kinase TTK,Ttk,,4,4,4,0,10.08150005,14.63819981,11.45069981,12.17759991,NaN,NaN,NaN,NaN
+,1.76052719,2.708099842,P35821,P35821,Tyrosine-protein phosphatase non-receptor type 1,Ptpn1,,7,6,4,2,13.71829987,15.90279961,15.29409981,14.88759995,12.17959976,NaN,NaN,12.30560017
,0,3.631711721,P35831,P35831,Tyrosine-protein phosphatase non-receptor type 12,Ptpn12,,3,5,4,1,11.96210003,9.042929649,12.21530056,11.56360054,NaN,NaN,NaN,7.564270973
+,2.277691614,-1.095175266,P35922,P35922,Fragile X mental retardation protein 1 homolog,Fmr1,,30,8,4,4,20.17919922,21.11919975,20.22060013,20.5583992,21.57889938,21.32649994,21.98530006,21.56739998
+,3.419928856,-2.042375088,P35979,P35979,60S ribosomal protein L12,Rpl12,,9,8,4,4,23.66049957,24.35339928,23.48730087,24.59910011,26.14450073,25.76609993,26.19599915,26.16320038
,1.476138343,-1.081600189,P35980,P35980,60S ribosomal protein L18,Rpl18,,11,8,4,4,24.25620079,25.30809975,23.89119911,24.85479927,25.97360039,25.19199944,26.15159988,25.31949997
+,3.174931766,3.333424807,P36371,P36371,Antigen peptide transporter 2,Tap2,,13,8,4,4,16.2458992,17.41259956,16.99720001,17.45240021,14.0941,12.43610001,13.8263998,14.41779995
,2.612042314,-0.6774249077,P36916,P36916,Guanine nucleotide-binding protein-like 1,Gnl1,,10,8,4,4,14.57870007,15.00710011,14.86390018,14.75030041,15.22420025,15.69040012,15.57250023,15.42259979
,0,NaN,P37040,P37040,NADPH--cytochrome P450 reductase,Por,,3,4,4,0,11.50380039,13.46179962,13.30749989,13.11690044,NaN,NaN,NaN,NaN
,0.8443293556,0.3474998474,P37913,P37913,DNA ligase 1,Lig1,,12,8,4,4,14.10109997,14.98460007,14.52400017,14.82359982,14.09910011,14.28390026,14.43550014,14.22480011
,0.08912202212,0.05422496796,P38647,P38647,"Stress-70 protein, mitochondrial",Hspa9,,26,8,4,4,19.59090042,20.21089935,20.08320045,20.51460075,20.09930038,19.7493,20.05970001,20.27440071
,0.1875801454,0.2219748497,P39054,P39054,Dynamin-2,Dnm2,,11,8,4,4,14.1892004,14.45429993,14.88739967,14.90789986,15.19120026,13.91769981,13.41670036,15.02530003
,0.02899360695,-0.1025950909,P39429,P39429,TNF receptor-associated factor 2,Traf2,,3,8,4,4,11.20699978,11.82320023,11.31910038,11.5948,13.94110012,10.00662994,9.066650391,13.34010029
+,5.151507776,3.73789978,P39688;Q04736;P05480;P25911;P14234;P08103,P39688,Tyrosine-protein kinase Fyn,Fyn,,17,8,4,4,19.39579964,19.81780052,20.16589928,19.84000015,15.57349968,16.36730003,15.88220024,16.44490051
+,3.293731755,-1.799324989,P39749,P39749,Flap endonuclease 1,Fen1,,6,8,4,4,15.63570023,16.13769913,16.34469986,16.85490036,18.07349968,17.980299,17.86030006,18.25620079
,0.2892524405,-0.09977483749,P40124;Q9CYT6,P40124,Adenylyl cyclase-associated protein 1,Cap1,,10,8,4,4,15.26290035,15.2052002,15.62059975,15.64430046,15.68790054,15.63529968,15.50440025,15.30449963
,0.2399807985,0.2513999939,P40142,P40142,Transketolase,Tkt,,16,8,4,4,17.18619919,18.09429932,17.65360069,18.41349983,17.78070068,16.92779922,17.21229935,18.4211998
+,0.9774748071,2.33174022,P40201,P40201,Chromodomain-helicase-DNA-binding protein 1,Chd1,,16,7,3,4,12.55160046,NaN,15.33339977,11.83530045,10.35459995,11.04339981,12.65270042,9.58273983
,0.1556819574,0.5842666626,P40630,P40630,"Transcription factor A, mitochondrial",Tfam,,3,5,3,2,13.16820049,15.83059978,NaN,13.2123003,14.51550007,12.45670033,NaN,NaN
+,1.269279618,-1.750974894,P40694,P40694,DNA-binding protein SMUBP-2,Ighmbp2,,16,8,4,4,14.43959999,14.99110031,13.16120052,16.28249931,16.21260071,15.64789963,17.20569992,16.81209946
,0.7734979174,-0.6220750809,P41105,P41105,60S ribosomal protein L28,Rpl28,,6,8,4,4,22.64859962,23.61039925,22.39940071,23.39940071,24.30010033,23.50510025,22.99650002,23.74440002
,0.4212969562,0.2888247967,P41183,P41183,B-cell lymphoma 6 protein homolog,Bcl6,,2,8,4,4,12.19799995,12.38879967,12.49530029,13.13210011,12.74180031,11.66090012,12.23169994,12.42450047
+,4.778854767,2.812725067,P41241;P41242,P41241,Tyrosine-protein kinase CSK,Csk,,15,8,4,4,19.02569962,19.21269989,18.98719978,19.06459999,16.29879951,16.24489975,15.70730019,16.78829956
,0.2429013445,0.2823748589,P42128,P42128,Forkhead box protein K1,Foxk1,,2,6,4,2,11.91919994,12.63640022,12.60649967,11.3593998,11.82240009,NaN,11.87360001,NaN
+,2.714973068,1.850749493,P42208,P42208,Septin-2,2-Sep,,7,8,4,4,16.15539932,15.89709949,16.19140053,17.23209953,14.38300037,14.40980053,15.08119965,14.19900036
,0.3420360311,-0.2214000225,P42209,P42209,Septin-1,1-Sep,,7,8,4,4,14.43889999,15.2730999,14.7609005,14.20510006,15.24090004,14.98750019,14.51080036,14.82439995
,0,-0.03710007668,P42225,P42225,Signal transducer and activator of transcription 1,Stat1,,3,5,4,1,10.91950035,11.00080013,10.41429996,10.69180012,NaN,NaN,NaN,10.79370022
,0,NaN,P42567,P42567,Epidermal growth factor receptor substrate 15,Eps15,,2,4,4,0,12.1111002,13.40719986,12.19740009,13.22169971,NaN,NaN,NaN,NaN
,2.185585741,-0.7488002777,P42669,P42669,Transcriptional activator protein Pur-alpha,Pura,,12,8,4,4,21.96999931,22.17169952,21.60339928,22.08060074,22.84300041,22.45260048,23.01639938,22.50889969
+,1.417229679,1.717578491,P42859,P42859,Huntingtin,Htt,,4,7,4,3,9.68500042,10.7636404,9.141400337,11.00629997,NaN,9.198940277,8.126420021,7.96916008
,0.5730003772,0.2834501266,P42932,P42932,T-complex protein 1 subunit theta,Cct8,,27,8,4,4,18.36730003,19.08760071,18.44070053,19.18700027,18.74160004,18.34070015,18.37170029,18.49480057
+,2.277364435,2.689849854,P43247,P43247,DNA mismatch repair protein Msh2,Msh2,,8,8,4,4,14.35169983,14.74359989,16.7031002,15.0152998,13.1906004,11.57139969,12.35809994,12.93420029
+,2.752299843,-1.808449745,P43274,P43274,Histone H1.4,Hist1h1e,,5,8,4,4,23.32159996,24.37170029,22.93869972,23.95409966,25.51709938,25.2003994,25.73060036,25.37179947
+,2.548472714,-2.257424831,P43276,P43276,Histone H1.5,Hist1h1b,,5,8,4,4,21.32550049,22.54070091,20.96870041,22.67250061,24.30450058,23.75300026,24.5496006,23.93000031
+,3.471676352,-2.842450142,P43277,P43277,Histone H1.3,Hist1h1d,,5,8,4,4,20.88999939,21.86079979,20.33849907,21.62490082,24.0753994,23.54249954,24.38310051,24.08300018
,0.07023272641,0.06217432022,P43404,P43404,Tyrosine-protein kinase ZAP-70,Zap70,,22,8,4,4,16.58609962,16.65649986,17.3708992,16.98449898,16.43790054,16.41659927,16.98150063,17.51329994
+,2.203578745,1.519748688,P45376,P45376,Aldose reductase,Akr1b1,,6,8,4,4,16.11019897,17.478899,17.230299,17.21559906,15.81360054,15.83119965,15.34590054,14.96530056
+,2.583914565,1.888825417,P45591,P45591,Cofilin-2,Cfl2,,7,8,4,4,18.23699951,18.15640068,18.88120079,18.91160011,16.85219955,16.85429955,15.71759987,17.20680046
+,2.015082349,-1.820650101,P46061,P46061,Ran GTPase-activating protein 1,Rangap1,,6,8,4,4,13.06669998,14.59469986,14.1789999,13.40210056,14.81369972,16.30010033,16.05990028,15.35140038
,1.196662179,0.585249424,P46062,P46062,Signal-induced proliferation-associated protein 1,Sipa1,,20,8,4,4,16.17149925,16.75889969,16.60969925,17.29680061,16.10650063,16.0279007,15.92169952,16.43980026
,0.4509941426,0.4458003044,P46460,P46460,Vesicle-fusing ATPase,Nsf,,15,8,4,4,14.63030052,16.68370056,15.21390057,15.45720005,14.83370018,15.17780018,14.92770004,15.26270008
,0,0.5927503109,P46467,P46467,Vacuolar protein sorting-associated protein 4B,Vps4b,,3,5,4,1,14.92650032,11.97920036,14.42819977,13.16549969,NaN,NaN,NaN,13.03209972
+,2.233857202,1.215124846,P46471,P46471,26S protease regulatory subunit 7,Psmc2,,14,8,4,4,16.60029984,17.61149979,17.28339958,17.39109993,16.48329926,16.1473999,15.75720024,15.63790035
,0.8740409513,0.4661750793,P46664,P46664,Adenylosuccinate synthetase isozyme 2,Adss,,2,8,4,4,12.88189983,13.77640057,13.32900047,13.68669987,12.73970032,13.15919971,12.57870007,13.33170033
,0.594864158,-2.097933133,P46737,P46737,Lys-63-specific deubiquitinase BRCC36,Brcc3,,4,6,3,3,11.35910034,NaN,11.38129997,12.27050018,16.76329994,11.59080029,NaN,12.95059967
,0.7260054682,-0.5169243813,P46935,P46935,E3 ubiquitin-protein ligase NEDD4,Nedd4,,21,8,4,4,16.80270004,16.9260006,17.90810013,18.17880058,17.99419975,17.94280052,18.06539917,17.88089943
